 time      seg dst      amp      flag
 7444      5   4.806    212.166  1  
 7444      4   4.781    209.766  1  
 7444      3   4.799    155.510  1  
 7444      6   4.931    94.255   1  
 7444      5   4.806    212.166  1  
 7444      4   4.781    209.766  1  
 7444      3   4.799    155.510  1  
 7504      6   5.002    75.973   1  
 7504      5   4.878    200.795  1  
 7504      4   4.846    206.153  1  
 7504      3   4.864    160.058  1  
 7504      6   5.002    75.973   1  
 7504      5   4.878    200.795  1  
 7504      4   4.846    206.153  1  
 7504      3   4.864    160.058  1  
 7615      6   5.143    50.109   1  
 7615      5   5.026    181.284  1  
 7615      4   4.975    194.990  1  
 7615      3   4.994    167.000  1  
 7615      2   5.235    17.424   1  
 7615      6   5.143    50.109   1  
 7615      5   5.026    181.284  1  
 7615      4   4.975    194.990  1  
 7615      3   4.994    167.000  1  
 7615      2   5.235    17.424   1  
 7733      6   5.247    40.201   1  
 7733      5   5.153    173.979  1  
 7733      4   5.090    184.365  1  
 7733      3   5.116    160.198  1  
 7733      2   5.266    29.019   1  
 7733      6   5.247    40.201   1  
 7733      5   5.153    173.979  1  
 7733      4   5.090    184.365  1  
 7733      3   5.116    160.198  1  
 7733      2   5.266    29.019   1  
 7791      6   5.290    35.137   1  
 7791      5   5.204    169.318  1  
 7791      4   5.144    181.047  1  
 7791      3   5.175    152.392  1  
 7791      2   5.306    31.478   1  
 7791      6   5.290    35.137   1  
 7791      5   5.204    169.318  1  
 7791      4   5.144    181.047  1  
 7791      3   5.175    152.392  1  
 7791      2   5.306    31.478   1  
 7905      6   5.392    25.595   1  
 7905      5   5.293    162.428  1  
 7905      4   5.247    173.971  1  
 7905      3   5.286    138.828  1  
 7905      2   5.410    29.042   1  
 7905      6   5.392    25.595   1  
 7905      5   5.293    162.428  1  
 7905      4   5.247    173.971  1  
 7905      3   5.286    138.828  1  
 7905      2   5.410    29.042   1  
 8018      6   5.502    22.157   1  
 8018      5   5.391    157.169  1  
 8018      4   5.350    167.082  1  
 8018      3   5.402    126.810  1  
 8018      2   5.544    17.953   1  
 8018      6   5.502    22.157   1  
 8018      5   5.391    157.169  1  
 8018      4   5.350    167.082  1  
 8018      3   5.402    126.810  1  
 8018      2   5.544    17.953   1  
 8076      6   5.548    25.650   1  
 8076      5   5.448    156.655  1  
 8076      4   5.406    162.177  1  
 8076      3   5.467    118.958  1  
 8076      2   5.552    10.650   1  
 8076      6   5.548    25.650   1  
 8076      5   5.448    156.655  1  
 8076      4   5.406    162.177  1  
 8076      3   5.467    118.958  1  
 8076      2   5.552    10.650   1  
 8189      6   5.658    65.447   1  
 8189      5   5.566    269.959  1  
 8189      4   5.522    270.062  1  
 8189      3   5.597    170.464  1  
 8189      6   5.658    65.447   1  
 8189      5   5.566    269.959  1  
 8189      4   5.522    270.062  1  
 8189      3   5.597    170.464  1  
 8248      6   5.719    81.613   1  
 8248      5   5.630    266.564  1  
 8248      4   5.586    261.060  1  
 8248      3   5.664    147.644  1  
 8248      6   5.719    81.613   1  
 8248      5   5.630    266.564  1  
 8248      4   5.586    261.060  1  
 8248      3   5.664    147.644  1  
 8360      6   5.845    104.996  1  
 8360      5   5.751    256.807  1  
 8360      4   5.711    244.464  1  
 8360      3   5.783    116.476  1  
 8360      6   5.845    104.996  1  
 8360      5   5.751    256.807  1  
 8360      4   5.711    244.464  1  
 8360      3   5.783    116.476  1  
 8477      6   5.969    104.475  1  
 8477      5   5.858    248.589  1  
 8477      4   5.826    232.812  1  
 8477      3   5.886    98.393   1  
 8477      6   5.969    104.475  1  
 8477      5   5.858    248.589  1  
 8477      4   5.826    232.812  1  
 8477      3   5.886    98.393   1  
 8535      6   6.035    98.156   1  
 8535      5   5.909    244.701  1  
 8535      4   5.882    228.670  1  
 8535      3   5.936    91.448   1  
 8535      6   6.035    98.156   1  
 8535      5   5.909    244.701  1  
 8535      4   5.882    228.670  1  
 8535      3   5.936    91.448   1  
 8649      6   6.163    79.133   1  
 8649      5   6.017    232.594  1  
 8649      4   5.991    221.382  1  
 8649      3   6.036    81.057   1  
 8649      6   6.163    79.133   1  
 8649      5   6.017    232.594  1  
 8649      4   5.991    221.382  1  
 8649      3   6.036    81.057   1  
 8762      6   6.299    55.550   1  
 8762      5   6.147    217.831  1  
 8762      4   6.111    214.411  1  
 8762      3   6.157    83.307   1  
 8762      6   6.299    55.550   1  
 8762      5   6.147    217.831  1  
 8762      4   6.111    214.411  1  
 8762      3   6.157    83.307   1  
 8821      6   6.368    44.398   1  
 8821      5   6.219    211.367  1  
 8821      4   6.180    213.305  1  
 8821      3   6.224    89.064   1  
 8821      6   6.368    44.398   1  
 8821      5   6.219    211.367  1  
 8821      4   6.180    213.305  1  
 8821      3   6.224    89.064   1  
 8933      6   6.492    29.547   1  
 8933      5   6.358    195.250  1  
 8933      4   6.312    207.898  1  
 8933      3   6.365    100.908  1  
 8933      6   6.492    29.547   1  
 8933      5   6.358    195.250  1  
 8933      4   6.312    207.898  1  
 8933      3   6.365    100.908  1  
 8993      6   6.545    25.892   1  
 8993      5   6.419    189.735  1  
 8993      4   6.370    202.705  1  
 8993      3   6.431    103.387  1  
 8993      6   6.545    25.892   1  
 8993      5   6.419    189.735  1  
 8993      4   6.370    202.705  1  
 8993      3   6.431    103.387  1  
 9107      6   6.659    24.818   1  
 9107      5   6.534    242.306  1  
 9107      4   6.483    252.162  1  
 9107      3   6.567    131.642  1  
 9107      6   6.659    24.818   1  
 9107      5   6.534    242.306  1  
 9107      4   6.483    252.162  1  
 9107      3   6.567    131.642  1  
 9222      6   6.762    18.139   1  
 9222      5   6.629    233.725  1  
 9222      4   6.589    244.723  1  
 9222      3   6.687    117.675  1  
 9222      6   6.762    18.139   1  
 9222      5   6.629    233.725  1  
 9222      4   6.589    244.723  1  
 9222      3   6.687    117.675  1  
 9279      6   6.816    17.956   1  
 9279      5   6.676    232.382  1  
 9279      4   6.642    241.422  1  
 9279      3   6.744    108.473  1  
 9279      6   6.816    17.956   1  
 9279      5   6.676    232.382  1  
 9279      4   6.642    241.422  1  
 9279      3   6.744    108.473  1  
 9393      6   6.889    25.990   1  
 9393      5   6.781    229.635  1  
 9393      4   6.754    229.683  1  
 9393      3   6.863    84.129   1  
 9393      6   6.889    25.990   1  
 9393      5   6.781    229.635  1  
 9393      4   6.754    229.683  1  
 9393      3   6.863    84.129   1  
 9507      6   6.992    43.325   1  
 9507      5   6.908    230.876  1  
 9507      4   6.882    212.827  1  
 9507      3   6.988    55.402   1  
 9507      6   6.992    43.325   1  
 9507      5   6.908    230.876  1  
 9507      4   6.882    212.827  1  
 9507      3   6.988    55.402   1  
 9565      6   7.049    55.045   1  
 9565      5   6.971    229.985  1  
 9565      4   6.947    203.867  1  
 9565      3   7.053    42.670   1  
 9565      6   7.049    55.045   1  
 9565      5   6.971    229.985  1  
 9565      4   6.947    203.867  1  
 9565      3   7.053    42.670   1  
 9677      6   7.166    73.758   1  
 9677      5   7.082    223.446  1  
